attendee,title,start,end,expense,location,fiscal,overseas,region
David Green,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$202,Los Angeles CA,FY18-19,N,
Herman Santos,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$612,Los Angeles CA,FY18-19,N,
Joseph Kelly,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$187,Los Angeles CA,FY18-19,N,
Vivian Gray,NASP Southern California Conference 9th Annual Day Of Private Equity Education,3/28/2019,3/28/2019,$612,Los Angeles CA,FY18-19,N,
James Harris,CALAPRS Advanced Principles of Pension Management for Trustees,3/27/2019,3/29/2019,"$2,225",Los Angeles CA,FY18-19,N,
Vivian Gray,SACRS Program and Board of Directors Meeting,3/18/2019,3/19/2019,"$1,126",Sacramento CA,FY18-19,N,
Joseph Kelly,NACD Retail Businesses with Adrian Bellamy,3/12/2019,3/12/2019,$85,Los Angeles CA,FY18-19,N,
Dave Muir,"CII Spring 2019 Conference March 4-6 (And for Scott Zdrazil: CII Board Meetings, SEC Meeting and Legislative Meetings March 6-8)",3/4/2019,3/8/2019,"$2,392",Washington DC,FY18-19,N,
Gina Sanchez,"CII Spring 2019 Conference March 4-6 (And for Scott Zdrazil: CII Board Meetings, SEC Meeting and Legislative Meetings March 6-8)",3/4/2019,3/8/2019,"$2,437",Washington DC,FY18-19,N,
Alan Bernstein,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,532","Mexico City, MX",FY18-19,Y,LA
David Green,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$4,445","Mexico City, MX",FY18-19,Y,LA
Herman Santos,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,381","Mexico City, MX",FY18-19,Y,LA
Wayne Moore,2019 PPI Study Mission to Mexico City,3/3/2019,3/5/2019,"$3,328","Mexico City, MX",FY18-19,Y,LA
Gina Sanchez,2019 Winter Roundtable,2/27/2019,3/1/2019,$900,Westlake Village CA,FY18-19,N,
Herman Santos,2019 Winter Roundtable,2/27/2019,3/1/2019,"$1,891",Westlake Village CA,FY18-19,N,
Wayne Moore,2019 Winter Roundtable,2/27/2019,3/1/2019,"$1,581",Westlake Village CA,FY18-19,N,
Gina Sanchez,2019 Milken Institute MENA Summit,2/12/2019,2/13/2019,"$14,860","Abu Dhabi, United Arab Emirates",FY18-19,Y,ME
Wayne Moore,2019 Milken Institute MENA Summit,2/12/2019,2/13/2019,"$8,472","Abu Dhabi, United Arab Emirates",FY18-19,Y,ME
Vivian Gray,SACRS Program Committee and Board of Directors Meeting,2/11/2019,2/12/2019,"$1,006",Sacramento CA,FY18-19,N,
David Green,NACD Economy and Stock Markets Insights,1/31/2019,1/31/2019,$85,Los Angeles CA,FY18-19,N,
Alan Bernstein,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,209",Washington DC,FY18-19,N,
David Green,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,$25,Washington DC,FY18-19,N,
Gina Sanchez,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,625",Washington DC,FY18-19,N,
Herman Santos,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$3,694",Washington DC,FY18-19,N,
Vivian Gray,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,$50,Washington DC,FY18-19,N,
Wayne Moore,NCPERS 2019 Legislative Conference and Visit to Congress,1/27/2019,1/30/2019,"$2,965",Washington DC,FY18-19,N,
Vivian Gray,SACRS Board of Directors & Legislative Meeting,1/14/2019,1/15/2019,"$1,197",Sacramento CA,FY18-19,N,
Alan Bernstein,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
David Green,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
Vivian Gray,NACD Disruptive Personalities in the Boardroom,1/8/2019,1/8/2019,$85,Los Angeles CA,FY18-19,N,
Vivian Gray,SACRS Program Committee and Board of Directors Meeting,12/17/2018,12/18/2018,"$1,314",Sacramento CA,FY18-19,N,
Gina Sanchez,2018 Milken Institute London Summit,12/4/2018,12/4/2018,"$9,796","London, England",FY18-19,Y,EU
Gina Sanchez,Harvard Business School – Executive Education: Women on Boards: Succeeding as a Corporate Director,11/26/2018,11/30/2018,"$18,400",Boston MA,FY18-19,N,
David Green,31st Annual AVCJ Private Equity & Venture Forum & ChrysCapital Annual Investor Conference,11/13/2018,11/16/2018,"$8,845","Hong Kong, China",FY18-19,Y,AS
Herman Santos,31st Annual AVCJ Private Equity & Venture Forum & ChrysCapital Annual Investor Conference,11/13/2018,11/16/2018,"$16,865","Hong Kong, China",FY18-19,Y,AS
Gina Sanchez,SACRS Fall Conference,11/13/2018,11/16/2018,"$1,628",Indian Wells CA,FY18-19,N,
Marvin Adams,SACRS Fall Conference,11/13/2018,11/16/2018,"$1,233",Indian Wells CA,FY18-19,N,
Thomas Walsh,SACRS Fall Conference,11/13/2018,11/16/2018,"$1,000",Indian Wells CA,FY18-19,N,
Vivian Gray,SACRS Fall Conference,11/13/2018,11/16/2018,"$1,648",Indian Wells CA,FY18-19,N,
Gina Zapanta-Murphy,USC Marshall Corporate Directors Symposium 2018,11/8/2018,11/8/2018,$694,Los Angeles CA,FY18-19,N,
Joseph Kelly,USC Marshall Corporate Directors Symposium 2018,11/8/2018,11/8/2018,$675,Los Angeles CA,FY18-19,N,
Marvin Adams,NCPERS 2018 Public Safety Conference,10/28/2018,10/31/2018,"$1,607",Las Vegas NV,FY18-19,N,
William Pryor,NCPERS 2018 Public Safety Conference,10/28/2018,10/31/2018,"$1,010",Las Vegas NV,FY18-19,N,
Gina Zapanta-Murphy,NCPERS Accredited Fiduciary (NAF) Program,10/27/2018,10/28/2018,"$1,693",Las Vegas NV,FY18-19,N,
Dave Muir,CII Fall 2018 Conference,10/23/2018,10/25/2018,"$1,950",New York NY,FY18-19,N,
David Green,CII Fall 2018 Conference,10/23/2018,10/25/2018,"$4,811",New York NY,FY18-19,N,
Gina Sanchez,CII Fall 2018 Conference,10/23/2018,10/25/2018,"$3,699",New York NY,FY18-19,N,
Herman Santos,CII Fall 2018 Conference,10/23/2018,10/25/2018,"$5,514",New York NY,FY18-19,N,
Wayne Moore,CII Fall 2018 Conference,10/23/2018,10/25/2018,"$3,192",New York NY,FY18-19,N,
Alan Bernstein,Investment Strategies & Portfolio Management,10/22/2018,10/26/2018,"$13,523",Philadelphia PA,FY18-19,N,
Marvin Adams,Crypto Invest Summit 2018,10/22/2018,10/24/2018,$499,Los Angeles CA,FY18-19,N,
Thomas Walsh,Investment Strategies & Portfolio Management,10/22/2018,10/26/2018,"$12,072",Philadelphia PA,FY18-19,N,
Alan Bernstein,IFEBP 64th Annual Employee Benefits Conference,10/14/2018,10/17/2018,$574,New Orleans LA,FY18-19,N,
Gina Zapanta-Murphy,IFEBP 64th Annual Employee Benefits Conference,10/14/2018,10/17/2018,"$2,275",New Orleans LA,FY18-19,N,
Joseph Kelly,PPI Executive Seminar 2018 & PPI’s Asia Roundtable,10/14/2018,10/19/2018,$251,"Sydney, Australia",FY18-19,N,
Les Robbins,AHIP National Conference 2018 on Medicare/Medicaid & Duals & Kaiser State of the Union,10/14/2018,10/19/2018,"$3,970",Washington DC,FY18-19,N,
Herman Santos,PPI Executive Seminar 2018 & PPI’s Asia Roundtable,10/14/2018,10/19/2018,"$13,246","Sydney, Australia",FY18-19,Y,OC
Shawn Kehoe,PPI Executive Seminar 2018 & PPI’s Asia Roundtable,10/14/2018,10/19/2018,"$22,678","Sydney, Australia",FY18-19,Y,OC
Vivian Gray,IFEBP 64th Annual Employee Benefits Conference,10/14/2018,10/17/2018,"$1,746",New Orleans LA,FY18-19,N,
Wayne Moore,PPI Executive Seminar 2018 & PPI’s Asia Roundtable,10/14/2018,10/19/2018,"$1,800","Sydney, Australia",FY18-19,N,
Herman Santos,Pension Real Estate Association (PREA) 28th Annual Institutional Investor Conference,10/3/2018,10/5/2018,"$3,673",Boston MA,FY18-19,N,
David Green,Public Pension Trustees Fiduciary Conference: Gaining the Tools for Innovation,10/2/2018,10/3/2018,"$3,678",New York NY,FY18-19,N,
Gina Sanchez,Public Pension Trustees Fiduciary Conference: Gaining the Tools for Innovation,10/2/2018,10/3/2018,"$2,860",New York NY,FY18-19,N,
Gina Zapanta-Murphy,Public Pension Trustees Fiduciary Conference: Gaining the Tools for Innovation,10/2/2018,10/3/2018,"$1,438",New York NY,FY18-19,N,
Thomas Walsh,Public Pension Trustees Fiduciary Conference: Gaining the Tools for Innovation,10/2/2018,10/3/2018,"$3,447",New York NY,FY18-19,N,
Wayne Moore,Public Pension Trustees Fiduciary Conference: Gaining the Tools for Innovation,10/2/2018,10/3/2018,"$5,652",New York NY,FY18-19,N,
Alan Bernstein,NACD Global Board Leaders’ Summit,9/29/2018,10/2/2018,"$9,570",Washington DC,FY18-19,N,
Shawn Kehoe,NACD Global Board Leaders’ Summit,9/29/2018,10/2/2018,"$11,937",Washington DC,FY18-19,N,
Vivian Gray,NACD Global Board Leaders’ Summit,9/29/2018,10/2/2018,"$8,430",Washington DC,FY18-19,N,
Gina Sanchez,UCLA Anderson Executive Education Corporate Governance Program,9/25/2018,9/27/2018,"$8,915",Los Angeles CA,FY18-19,N,
Herman Santos,LAVCA Summit and Investor Roundtable 2018,9/24/2018,9/27/2018,"$4,740",New York NY,FY18-19,N,
Vivian Gray,SACRS Committee & Board of Directors,9/24/2018,9/25/2018,$693,Sacramento CA,FY18-19,N,
Wayne Moore,LAVCA Summit and Investor Roundtable 2018,9/24/2018,9/27/2018,"$4,113",New York NY,FY18-19,N,
Joseph Kelly,"NACD Aspiring Director Program September 11, 2018",9/11/2018,9/11/2018,$80,Los Angeles CA,FY18-19,N,
Shawn Kehoe,NACD Aspiring Director Program 9/11/2018,9/11/2018,9/11/2018,$80,Los Angeles CA,FY18-19,N,
Thomas Walsh,Committee on Workers Capital (CWC) Conference 2018,9/10/2018,9/11/2018,$928,San Francisco CA,FY18-19,N,
Joseph Kelly,National Association of Corporate Directors Master Class,8/20/2018,8/21/2018,"$6,631",Newport Beach CA,FY18-19,N,
Wayne Moore,National Association of Corporate Directors Direct Professionalism,8/15/2018,8/17/2018,"$5,987",Westlake Village CA,FY18-19,N,
Alan Bernstein,The Information Security Media Group (ISMG) Security Summit,8/14/2018,8/15/2018,"$3,930",New York NY,FY18-19,N,
Herman Santos,The Information Security Media Group (ISMG) Security Summit,8/14/2018,8/15/2018,"$3,844",New York NY,FY18-19,N,
Shawn Kehoe,"IAFCI 50th Annual Training Conference ""Giving Fraud the Boot""",8/13/2018,8/17/2018,"$3,423",Fort Worth TX,FY18-19,N,
Joseph Kelly,Milken Institute California Policy Summit,8/7/2018,8/7/2018,$567,Sacramento CA,FY18-19,N,
Vivian Gray,SACRS Board of Directors,8/6/2018,8/7/2018,"$1,106",Sacramento CA,FY18-19,N,
David Green,2018 Fortune Brainstorm Tech Conference,7/16/2018,7/18/2018,"$10,297",Aspen CO,FY18-19,N,
Ronald Okum,2018 Fortune Brainstorm Tech Conference,7/16/2018,7/18/2018,"$9,043",Aspen CO,FY18-19,N,
Joseph Kelly,The National Association of Corporate Directors (NACD),7/12/2018,7/13/2018,"$4,123",Palo Alto CA,FY18-19,N,
David Green,2018 PPI Summer Roundtable,7/11/2018,7/17/2018,"$1,734",La Jolla CA,FY18-19,N,
Herman Santos,2018 PPI Summer Roundtable,7/11/2018,7/17/2018,"$1,693",La Jolla CA,FY18-19,N,
Wayne Moore,2018 PPI Summer Roundtable,7/11/2018,7/17/2018,"$1,635",La Jolla CA,FY18-19,N,
Gina Sanchez,The 5th Annual Hispanic Heritage Foundation  (HHF) Investors Group Conference,6/28/2018,6/29/2018,"$4,042",New York NY,FY17-18,N,
Alan Bernstein,IFEBP Public Employees Benefits Institute,6/25/2018,6/27/2018,"$2,910",Las Vegas NV,FY17-18,N,
Dave Muir,The International Corporate Governance Network (ICGN) Annual Conference,6/25/2018,6/28/2018,"$6,690","Milan, Italy",FY17-18,Y,EU
David Green,2The International Corporate Governance  Network (ICGN) Annual Conference,6/25/2018,6/28/2018,"$3,992","Milan, Italy",FY17-18,Y,EU
Herman Santos,The International Corporate Governance Network (ICGN) Annual Conference,6/25/2018,6/28/2018,"$5,740","Milan, Italy",FY17-18,Y,EU
Marvin Adams,IFEBP Public Employees Benefits Institute,6/25/2018,6/27/2018,"$4,698",Las Vegas NV,FY17-18,N,
Marvin Adams,AHIP Institute & Expo,6/20/2018,6/22/2018,"$1,321",San Diego CA,FY17-18,N,
Vivian Gray,SACRS Board of Directors,6/17/2018,6/19/2018,$212,San Diego CA,FY17-18,N,
David Green,2Trustee Leadership Forum for Retirement  Security Annual Convening,6/11/2018,6/12/2018,"$2,654",Cambridge MA,FY17-18,N,
Shawn Kehoe,The 2018 MoneyConf The Future of  Money,6/11/2018,6/13/2018,"$4,248","Dublin, Ireland",FY17-18,Y,EU
Thomas Walsh,Trustee Leadership Forum for Retirement Security Annual Convening,6/11/2018,6/12/2018,$482,Cambridge MA,FY17-18,N,
Joseph Kelly,NACD Blue Ribbon Commission Report: Culture as a Corporate Asset,5/22/2018,5/22/2018,$80,Los Angeles CA,FY17-18,N,
Alan Bernstein,IFEBP Washington Legislative Update & Federal Engagement: Visit with Congress,5/21/2018,5/24/2018,"$6,425",Washington DC,FY17-18,N,
Herman Santos,IFEBP Washington Legislative Update & Federal Engagement: Visit with Congress,5/21/2018,5/24/2018,"$3,835",Washington DC,FY17-18,N,
Shawn Kehoe,IACP Technology Conference,5/21/2018,5/23/2018,"$1,962",Providence  RI,FY17-18,N,
Vivian Gray,IFEBP Washington Legislative Update &  Federal Engagement: Visit with Congress,5/21/2018,5/24/2018,"$3,783",Washington DC,FY17-18,N,
William Pryor,IACP Technology Conference,5/21/2018,5/23/2018,"$4,075",Providence RI,FY17-18,N,
Wayne Moore,2018 Goldman Sachs Private Markets Investor Forum,5/16/2018,5/17/2018,"$1,793",New York NY,FY17-18,N,
Dave Muir,UCLA Anderson Executive Education Corporate Governance Program,5/15/2018,5/17/2018,"$9,104",Los Angeles CA,FY17-18,N,
Gina Sanchez,SACRS Spring Conferences,5/15/2018,5/18/2018,$819,Anaheim CA,FY17-18,N,
Gina Zapanta-Murphy,SACRS Spring Conferences,5/15/2018,5/18/2018,$449,Anaheim CA,FY17-18,N,
James Harris,SACRS Spring Conferences,5/15/2018,5/18/2018,$956,Anaheim CA,FY17-18,N,
Michael Schneider,SACRS Spring Conferences,5/15/2018,5/18/0201,$892,Anaheim CA,FY17-18,N,
Vivian Gray,SACRS Spring Conferences,5/15/2018,5/18/2018,"$1,535",Anaheim CA,FY17-18,N,
Alan Bernstein,2018 NCPERS Annual Conference & Exhibition (ACE),5/13/2018,5/16/2018,"$5,970",New York NY,FY17-18,N,
Herman Santos,2018 NCPERS Annual Conference & Exhibition (ACE),5/13/2018,5/16/2018,"$4,271",New York NY,FY17-18,N,
Marvin Adams,2018 NCPERS Annual Conference & Exhibition (ACE),5/13/2018,5/16/2018,"$4,986",New York NY,FY17-18,N,
Wayne Moore,2018 NCPERS Annual Conference & Exhibition (ACE),5/13/2018,5/16/2018,"$5,429",New York NY,FY17-18,N,
William Pryor,2018 NCPERS Annual Conference & Exhibition (ACE),5/13/2018,5/16/2018,"$1,912",New York NY,FY17-18,N,
Gina Sanchez,2018 Middle East Summit,5/7/2018,5/8/2018,"$18,476","Dubai, United Arab Emirates",FY17-18,Y,ME
David Green,Milken Conference,4/29/2018,5/2/2018,"$1,913",Los Angeles CA,FY17-18,N,
Gina Sanchez,Milken Conference,4/29/2018,5/2/2018,$265,Los Angeles CA,FY17-18,N,
Gina Zapanta-Murphy,Milken Conference,4/29/2018,5/2/2018,$84,Los Angeles CA,FY17-18,N,
Herman Santos,Milken Conference,4/29/2018,5/2/2018,"$2,657",Los Angeles CA,FY17-18,N,
Joseph Kelly,Milken Conference,4/29/2018,5/2/2018,$84,Los Angeles CA,FY17-18,N,
Marvin Adams,Milken Conference,4/29/2018,5/2/2018,$377,Los Angeles CA,FY17-18,N,
Michael Schneider,Milken Conference,4/29/2018,5/2/2018,$93,Los Angeles CA,FY17-18,N,
Vivian Gray,Milken Conference,4/29/2018,5/2/2018,"$1,422",Los Angeles CA,FY17-18,N,
Wayne Moore,Milken Conference,4/29/2018,5/2/2018,$76,Los Angeles CA,FY17-18,N,
William Pryor,Milken Conference,4/29/2018,5/2/2018,$93,Los Angeles CA,FY17-18,N,
Gina Sanchez,Global Real Estate Sustainability Benchmark:  Sustainable Real Assets Conference,4/25/2018,4/25/2018,"$10,903","London, England",FY17-18,Y,EU
Herman Santos,Institutional Investor Public Funds Roundtable,4/24/2018,4/27/2018,$817,Los Angeles CA,FY17-18,N,
Vivian Gray,Wilshire Consulting Client Conference,4/22/2018,4/24/2018,"$1,237",Carlsbad CA,FY17-18,N,
Dave Muir,2018 CRCEA Spring Conference,4/16/2018,4/18/2018,"$1,072",Santa Barbara CA,FY17-18,N,
David Green,"NASP Eighth Annual ""Day of Education in  Private Equity"" Conference",3/29/2018,3/29/2018,$248,Los Angeles CA,FY17-18,N,
Gina Zapanta-Murphy,"NASP Eighth Annual ""Day of Education in Private Equity"" Conference",3/29/2018,3/29/2018,$180,Los Angeles CA,FY17-18,N,
Herman Santos,"NASP Eighth Annual ""Day of Education in Private Equity"" Conference",3/29/2018,3/29/2018,$717,Los Angeles CA,FY17-18,N,
Shawn Kehoe,NACD in Partnership with NIRI Fireside Chat with Mellody Hobson and Jennifer DiGrazia,3/29/2018,3/29/2018,$80,Los Angeles CA,FY17-18,N,
Vivian Gray,"NASP Eighth Annual ""Day of Education in Private Equity"" Conference",3/29/2018,3/29/2018,$327,Los Angeles CA,FY17-18,N,
Vivian Gray,NACD in Partnership with NIRI Fireside Chat with Mellody Hobson and Jennifer DiGrazia,3/29/2018,3/29/2018,$115,Los Angeles CA,FY17-18,N,
